insider_name,insider_role,company_name,company_cik,filing_date,filing
Dinu Raluca,['Director'],"GigCapital2, Inc.",0001770141,2019-06-05,0001209191-19-034714
MCDONALD WESLEY S,['Director'],URBAN OUTFITTERS INC,0000912615,2019-06-05,0001209191-19-034831
EVANS BRANDON THOMAS,"['Officer', 'Assistant Treasurer']",PIMCO HIGH INCOME FUND,0001219360,2019-06-06,0001209191-19-035155
Stickel Raymond Jr,['Other'],Invesco Senior Loan Fund,0000853180,2019-06-10,0001209191-19-035750
RESSEL TERESA,['Other'],Invesco Senior Loan Fund,0000853180,2019-06-18,0001209191-19-037647
Jack L. Sinclair,"['Director', 'Officer', 'Chief Executive Officer']","Sprouts Farmers Market, Inc.",0001575515,2019-06-26,0001209191-19-039135
Furlong Stephen,['Officer'],"Neuronetics, Inc.",0001227636,2019-07-24,0001209191-19-043046
Warren E. Buffett,['10% Owner'],BANK OF AMERICA CORP /DE/,0000070858,2019-07-25,0001209191-19-043250
Kemp Harry Albert,['Officer'],LEAR CORP,0000842162,2019-08-05,0001209191-19-044441
Viggiano John,['Other (Affiliated Person)'],AllianzGI Convertible & Income 2024 Target Term Fund,0001701809,2019-08-30,0001209191-19-047807
Rammelt Susan Greenspon,"['Director', 'Officer']","SmileDirectClub, Inc.",0001775625,2019-09-11,0001209191-19-049164
Joel Motley W,['Trustee'],Invesco Municipal Income Opportunities Trust,0000835333,2019-09-25,0001209191-19-050664
Soparkar Peter,['Officer'],"Adverum Biotechnologies, Inc.",0001501756,2019-11-01,0001209191-19-054741
Tressler Nick B.,['Officer'],"Senseonics Holdings, Inc.",0001616543,2019-11-19,0001209191-19-057246
Bradshaw Curt,['Officer'],"ARROWHEAD PHARMACEUTICALS, INC.",0000879407,2019-11-20,0001209191-19-057487
"Opaleye, L.P.",['10% Owner'],"ArTara Therapeutics, Inc.",0001359931,2020-01-13,0001209191-20-003218
Zummo Jacqueline,['Officer'],"ArTara Therapeutics, Inc.",0001359931,2020-01-13,0001209191-20-003232
O'Connor David P.,['Officer'],"THL Credit, Inc.",0001464963,2020-02-12,0001209191-20-008599
Dickson Kathryn P,['Officer'],"Tilray, Inc.",0001731348,2020-03-06,0001209191-20-017001
BARBARI SHARON SURREY,['Director'],Menlo Therapeutics Inc.,0001566044,2020-03-11,0001209191-20-018209
Whitten Candice Stack,['Other'],PIMCO NEW YORK MUNICIPAL INCOME FUND III,0001181505,2020-03-27,0001209191-20-021473
MOGELOF ERIC J,['Other'],PIMCO CORPORATE & INCOME STRATEGY FUND,0001160990,2020-03-27,0001209191-20-021615
WEBER MARIANNE DOLAN,['Other'],"MSG ENTERTAINMENT SPINCO, INC.",0001795250,2020-04-06,0001209191-20-023651
Holst Micah L,['Officer'],"Roadrunner Transportation Systems, Inc.",0001440024,2020-04-20,0001209191-20-025163
Wong Janet S.,['Director'],"Allegiance Bancshares, Inc.",0001642081,2020-04-23,0001209191-20-025480
Mayer Bethany,['Director'],BOX INC,0001372612,2020-04-28,0001209191-20-025938
Kaser Jeffrey S,['Officer'],PACKAGING CORP OF AMERICA,0000075677,2020-05-11,0001209191-20-028219
Kuehl Todd F,['Officer'],Invesco High Income Trust II,0000846671,2020-05-13,0001209191-20-028929
Lege Annette,"['Director', 'Officer']",Invesco Pennsylvania Value Municipal Income Trust,0000895528,2020-05-15,0001209191-20-029535
SEAMS CHRISTOPHER A,['Director'],Xperi Holding Corp,0001803696,2020-06-03,0001209191-20-034252
Ho Carole,['Director'],NGM BIOPHARMACEUTICALS INC,0001426332,2020-06-08,0001209191-20-035307
BECKER W MARSTON,['Director'],AXIS CAPITAL HOLDINGS LTD,0001214816,2020-06-11,0001209191-20-036049
Forte Steve,['Officer'],Repare Therapeutics Inc.,0001808158,2020-06-18,0001209191-20-037743
Blair Graeme,['Officer'],INNOSPEC INC.,0001054905,2020-07-01,0001209191-20-039692
SINGH RAJEEV,"['Director', 'Officer', 'Chief Executive Officer']","Accolade, Inc.",0001481646,2020-07-01,0001209191-20-039864
CLEMMER RICHARD L,['Director'],Aptiv PLC,0001521332,2020-07-06,0001209191-20-041051
Owen Mary,['Director'],Gordon Pointe Acquisition Corp.,0001708176,2020-07-06,0001209191-20-041232
Lizzul Paul F.,['Officer'],"ANAPTYSBIO, INC",0001370053,2020-07-31,0001209191-20-044257
Andrews Richard Kevin,['Officer'],BATTALION OIL CORP,0001282648,2020-08-25,0001209191-20-048210
Ranalli Tamara A.,['Officer'],QUIDEL CORP /DE/,0000353569,2020-08-26,0001209191-20-048476
Wolberg Kirsten O.,['Director'],CalAmp Corp.,0000730255,2020-09-03,0001209191-20-049365
Eric D. Mullins,['Director'],CONOCOPHILLIPS,0001163165,2020-09-08,0001209191-20-049760
Hauwert Ralph,['Officer'],Unity Software Inc.,0001810806,2020-09-17,0001209191-20-051068
Heuland Noemie Clemence,['Officer'],Ceridian HCM Holding Inc.,0001725057,2020-10-05,0001209191-20-053592
Topper James N,['10% Owner'],"Tarsus Pharmaceuticals, Inc.",0001819790,2020-10-15,0001209191-20-054997
Geidt Elliot,['Director'],"Root, Inc.",0001788882,2020-10-27,0001209191-20-056022
Huhnke Burkhard J.,['Officer'],Fisker Inc./DE,0001720990,2020-11-02,0001209191-20-056479
Leemrijse Romeo,['Director'],AZEK Co Inc.,0001782754,2020-11-19,0001209191-20-059327
SHAPIRO LEE,['Director'],"CLOVER HEALTH INVESTMENTS, CORP. /DE",0001801170,2021-01-11,0001209191-21-003131
Loeger Julie A,['Officer'],EBAY INC,0001065088,2021-01-20,0001209191-21-004658
Busky Joseph M,['Officer'],Ortho Clinical Diagnostics Holdings plc,0001828443,2021-01-27,0001209191-21-005802
Perez David Brian,['Director'],Ortho Clinical Diagnostics Holdings plc,0001828443,2021-01-27,0001209191-21-005813
Brigliadori Geraldine Edith,['Other'],PIMCO NEW YORK MUNICIPAL INCOME FUND,0001140410,2021-01-29,0001209191-21-006351
ENGLEMAN EDGAR,"['Director', '10% Owner']","Bolt Biotherapeutics, Inc.",0001641281,2021-02-04,0001209191-21-007838
Schott Robert J.,['Officer'],"SANGAMO THERAPEUTICS, INC",0001001233,2021-02-10,0001209191-21-009401
Singhal Vikas,['Director'],"Metromile, Inc.",0001819035,2021-02-11,0001209191-21-009952
Sirdashney Heather G,['Officer'],CONOCOPHILLIPS,0001163165,2021-03-04,0001209191-21-017701
SOKOLOFF JONATHAN D,"['Director', '10% Owner']",JOANN Inc.,0001834585,2021-03-11,0001209191-21-019949
Roberts Zachary,['Officer'],"Instil Bio, Inc.",0001789769,2021-03-18,0001209191-21-021947
Clancy Paul J,['Director'],EXACT SCIENCES CORP,0001124140,2021-03-19,0001209191-21-022120
Shah Pratik,"['Director', 'Officer']","Design Therapeutics, Inc.",0001807120,2021-03-25,0001209191-21-023121
Thompson Peter A.,"['Director', '10% Owner']","Edgewise Therapeutics, Inc.",0001710072,2021-03-25,0001209191-21-023142
Duggan Elizabeth A,['Officer'],PIMCO Dynamic Income Fund,0001510599,2021-03-26,0001209191-21-023277
"Lux Ventures IV, L.P.",['10% Owner'],"RECURSION PHARMACEUTICALS, INC.",0001601830,2021-04-15,0001209191-21-026794
Herman Cipora,['Director'],"ZIPRECRUITER, INC.",0001617553,2021-05-14,0001209191-21-032993
MAYLEBEN TIMOTHY M,['Director'],"Landos Biopharma, Inc.",0001785345,2021-05-17,0001209191-21-033249
Krishnan Rajesh,['Officer'],"Oncternal Therapeutics, Inc.",0001260990,2021-05-27,0001209191-21-036323
"GOLDMAN SACHS GROUP INC, GOLDMAN SACHS & CO. LLC, Goldman Sachs PSI Global Holdings, LLC, Stonebridge 2020 Offshore Holdings II, L.P., Bridge Street Opportunity Advisors, L.L.C., StoneBridge 2020, L.P.","['Director', '10% Owner']",Flywire Corp,0001580560,2021-06-01,0001209191-21-037322
ORBIMED ADVISORS LLC,['Director'],"Janux Therapeutics, Inc.",0001817713,2021-06-10,0001209191-21-039666
Hayden Rachel,['Officer'],"SCANSOURCE, INC.",0000918965,2021-06-17,0001209191-21-041497
MCBRINN SYLVIA,['Director'],"BioAtla, Inc.",0001826892,2021-06-16,0001209191-21-041558
Kundra Vivek,['Officer'],"Sprinklr, Inc.",0001569345,2021-06-22,0001209191-21-042567
"Leonard Green & Partners, L.P.","['Director', '10% Owner']","Mister Car Wash, Inc.",0001853513,2021-06-25,0001209191-21-043380
Warner Nicholas,['Officer'],"SentinelOne, Inc.",0001583708,2021-06-29,0001209191-21-043748
Grafman Allan,['Director'],"IDW MEDIA HOLDINGS, INC.",0001463833,2021-07-01,0001209191-21-044430
DeCamillo Aimee Rochelle,"['Director', 'Officer']",Jackson Financial Inc.,0001822993,2021-08-06,0001209191-21-050156
Susser Philip,['Portfolio Manager'],Invesco High Income Trust II,0000846671,2021-08-09,0001209191-21-050354
TURNER BRENTON R.,"['Officer', 'Chief Operating Officer']","ROVER GROUP, INC.",0001826018,2021-08-09,0001209191-21-050462
Cooper Kerry Whorton,['Director'],TPB Acquisition Corp I,0001847090,2021-08-10,0001209191-21-050704
Langenauer Roberto,['Director'],"AgileThought, Inc.",0001790625,2021-08-25,0001209191-21-053515
"Winder Investment Pte Ltd, Haldor Foundation, Freemont Capital Pte Ltd",['10% Owner'],SENSIENT TECHNOLOGIES CORP,0000310142,2021-08-26,0001209191-21-053521
Patel Premal,['Officer'],"eFFECTOR Therapeutics, Inc.",0001828522,2021-08-27,0001209191-21-053700
Rogers Julie McKie,['Officer'],Volta Inc.,0001819584,2021-08-30,0001209191-21-053922
JEW JEANNE Y,['Director'],"CATALYST BIOSCIENCES, INC.",0001124105,2021-09-13,0001209191-21-055779
Conder Keenan Michael,['Officer'],"SentinelOne, Inc.",0001583708,2021-09-13,0001209191-21-055787
Johnson Adam M.,['Director'],MARINEMAX INC,0001057060,2021-09-28,0001209191-21-057914
Alexander Karen,['Officer'],"Bakkt Holdings, Inc.",0001820302,2021-10-19,0001209191-21-060926
Borrego Andres,['Director'],"AgileThought, Inc.",0001790625,2021-10-29,0001209191-21-062110
Mauro Gregorio,['Director'],EAGLE MATERIALS INC,0000918646,2021-11-03,0001209191-21-062699
Tiller Jane,['Director'],"Longboard Pharmaceuticals, Inc.",0001832168,2021-11-17,0001209191-21-064952
Ayele Wouleta,"['Officer', 'Chief Technology Officer']","Sweetgreen, Inc.",0001477815,2021-11-17,0001209191-21-065275
ALSP Orchid Sponsor LLC,['10% Owner'],ALSP Orchid Acquisition Corp I,0001883962,2021-11-18,0001209191-21-065561
Lang Daniel,['Officer'],"Athenex, Inc.",0001300699,2021-12-01,0001209191-21-067301
D'Souza Rupert,['Officer'],"Adverum Biotechnologies, Inc.",0001501756,2021-12-08,0001209191-21-068553
Hollingsworth Jarvis V.,['Director'],"Core Scientific, Inc./tx",0001839341,2022-01-31,0001209191-22-005585
Lee Alicia,['Officer'],"FORRESTER RESEARCH, INC.",0001023313,2022-01-31,0001209191-22-005643
Lehnhardt Aaron J,['Officer'],"Knightscope, Inc.",0001600983,2022-02-01,0001209191-22-006153
Bartzokis Thomas C.,['Director'],GEO GROUP INC,0000923796,2022-02-02,0001209191-22-006535
Heery Christopher,['Officer'],"Arcellx, Inc.",0001786205,2022-02-03,0001209191-22-006865
Hodge Michael Edward,['Director'],SONIC AUTOMOTIVE INC,0001043509,2022-03-07,0001209191-22-016665
David Cowan,['Director'],"Rigetti Computing, Inc.",0001838359,2022-03-11,0001209191-22-018196
JOHNSON LADON,['Officer'],MARRONE BIO INNOVATIONS INC,0001441693,2022-03-24,0001209191-22-020921
Boehnlein Glenn S,['Director'],Inogen Inc,0001294133,2022-03-24,0001209191-22-021025
Reidy Christopher R,['Director'],Embecta Corp.,0001872789,2022-04-05,0001209191-22-023283
Shah Nimish P,['10% Owner'],"Tricida, Inc.",0001595585,2022-06-06,0001209191-22-034487
DAWSON CRAIG A,['Other'],PIMCO California Flexible Municipal Income Fund,0001911795,2022-06-15,0001209191-22-037186
McCartney Kathleen Ann,['Director'],PIMCO Flexible Municipal Income Fund,0001723701,2022-06-30,0001209191-22-040092
Stephen Conchie,['Officer'],HERBALIFE NUTRITION LTD.,0001180262,2022-08-02,0001209191-22-044001
Burger Barbara J,['Director'],"Heliogen, Inc.",0001840292,2022-09-14,0001209191-22-049884
Kenneth W. Lee,['Officer'],PIMCO Flexible Real Estate Income Fund,0001896329,2022-11-14,0001209191-22-056810
Schneider Jerome M,['Other'],PIMCO Flexible Real Estate Income Fund,0001896329,2022-11-14,0001209191-22-056834
Pier Sonali Shah,['Other'],"PIMCO STRATEGIC INCOME FUND, INC",0000916183,2023-02-03,0001209191-23-006663
Lieser Brian,['Officer'],BELDEN INC.,0000913142,2023-02-24,0001209191-23-012555
Cusack Mareile B.,['Director'],DNP SELECT INCOME FUND INC,0000806628,2023-03-06,0001209191-23-016411
Kiefer Evan Montgomery,['Officer'],"Black Stone Minerals, L.P.",0001621434,2023-03-07,0001209191-23-016931
Pompa Valerie,['Officer'],HF Sinclair Corp,0001915657,2023-04-03,0001209191-23-022357
Hom Jesse,['Director'],ISTAR INC.,0001095651,2023-04-04,0001209191-23-022953
Cline Darren S,['Director'],IMPEL PHARMACEUTICALS INC,0001445499,2023-04-13,0001209191-23-024248
Cavanaugh Stefanie L.,['Director'],Aspira Women's Health Inc.,0000926617,2023-05-18,0001209191-23-030705
Loggia Nicoletta,['Director'],"Candel Therapeutics, Inc.",0001841387,2023-06-09,0001209191-23-035621
Burgess Michael F.,"['Director', 'Officer (Interim Chief Medical Officer)']",Turnstone Biologics Corp.,0001764974,2023-07-20,0001209191-23-043008
Adamo Jonathan,['Officer'],"NNN REIT, INC.",0000751364,2023-08-14,0001209191-23-045643
Jeremy Blank,['Director'],Gamida Cell Ltd.,0001600847,2023-08-15,0001209191-23-045830
Leekha Puja,['Officer'],Orthofix Medical Inc.,0000884624,2023-09-18,0001209191-23-049747
Brightman Glenn Eugene,['Officer'],Invesco Senior Loan Fund,0000853180,2023-10-10,0001209191-23-052416
Brightman Glenn Eugene,['Officer'],Invesco Quality Municipal Income Trust,0000885125,2023-10-10,0001209191-23-052430
Boylan James P,['Director'],Immunome Inc.,0001472012,2023-10-12,0001209191-23-052703
BODENSTEINER LISA MARIE,['Officer'],SYNAPTICS Inc,0000817720,2023-12-07,0001209191-23-057990
"InnoHold, LLC",['10% Owner'],"Purple Innovation, Inc.",0001643953,2018-02-14,0001213900-18-001940
He Xin,['Officer'],iFresh Inc,0001681941,2018-04-12,0001213900-18-004345
Sunny Vanderbeck,['10% Owner'],Lovesac Co,0001701758,2018-06-26,0001213900-18-008303
KATZMAN RICHARD,['Director'],Forum Merger II Corp,0001741231,2018-08-02,0001213900-18-010132
Schneider Travis,['Director'],PETROTEQ ENERGY INC.,0001561180,2019-07-12,0001213900-19-012628
"ECP ControlCo, LLC",['10% Owner'],"NESCO HOLDINGS, INC.",0001709682,2019-08-01,0001213900-19-014274
Johnson Carolyn M,['Director'],Majesco,0001626853,2019-09-10,0001213900-19-017632
Golembo Myriam,['Officer'],BiomX Inc.,0001739174,2019-11-01,0001213900-19-022428
Yung LiMing,['Officer'],Pingtan Marine Enterprise Ltd.,0001517130,2019-12-12,0001213900-19-025938
Cashel Michael S,['Director'],East Stone Acquisition Corp,0001760683,2020-02-19,0001213900-20-004320
Downs Mark,['Director'],"American Virtual Cloud Technologies, Inc.",0001704760,2020-04-17,0001213900-20-009524
McLallen Walter Field,['Director'],Lovesac Co,0001701758,2020-06-19,0001213900-20-015367
Marriott Sarah,"['Director', 'Officer']",Panacea Acquisition Corp,0001811063,2020-06-30,0001213900-20-016365
Pankovcin Corinne,['Officer'],"ADiTx Therapeutics, Inc.",0001726711,2020-07-09,0001213900-20-017129
Runge Jeffrey W.,['Director'],"ADiTx Therapeutics, Inc.",0001726711,2020-07-22,0001213900-20-018286
Tananbaum James B.,"['Director', 'Officer']",FS Development Corp.,0001816736,2020-08-11,0001213900-20-021505
Weisberg Laurie,['Director'],"Jerrick Media Holdings, Inc.",0001357671,2020-08-13,0001213900-20-021907
Daboub Juan J.,['Director'],Tortoise Acquisition Corp. II,0001819584,2020-09-10,0001213900-20-026113
Kolber Jonathan,['Director'],ION Acquisition Corp 1 Ltd.,0001821018,2020-10-01,0001213900-20-029436
SUBIN NEIL S,['10% Owner'],Spartacus Acquisition Corp,0001822553,2020-10-15,0001213900-20-031632
Donaldson Richard C,['Director'],Capitol Investment Corp. V,0001722438,2020-12-01,0001213900-20-040294
Nance William Bennett,['Director'],Dune Acquisition Corp,0001817232,2020-12-17,0001213900-20-043341
GUBER PETER,['Director'],Bright Lights Acquisition Corp.,0001827328,2021-01-06,0001213900-21-000708
Grosch Peter,['Director'],Pontem Corp,0001830392,2021-01-12,0001213900-21-001808
Reich Anthony,['Officer'],ION Acquisition Corp 2 Ltd.,0001835378,2021-02-10,0001213900-21-008186
Daniel Barbara,['Director'],Isos Acquisition Corp.,0001840572,2021-03-02,0001213900-21-013009
Montgomery Terence R,['Director'],Glenfarne Merger Corp.,0001818880,2021-03-18,0001213900-21-016493
Emes Brian,['Officer'],CM Life Sciences III Inc.,0001843762,2021-04-06,0001213900-21-020503
Barone Samuel B.,['Officer'],"Gemini Therapeutics, Inc. /DE",0001816736,2021-04-14,0001213900-21-021517
Presutti Timothy M.,['Director'],B. Riley Principal 250 Merger Corp.,0001844211,2021-05-06,0001213900-21-025006
Schnitzer Steven C.,['Officer'],TortoiseEcofin Acquisition Corp. III,0001847112,2021-07-19,0001213900-21-037507
Lazer Dean,['10% Owner'],Pasithea Therapeutics Corp.,0001841330,2021-09-14,0001213900-21-048099
Nolet Chris,['Director'],"Jasper Therapeutics, Inc.",0001788028,2021-10-01,0001213900-21-051105
Hart Daniel M,"['Director', 'Officer']","Virgin Orbit Holdings, Inc.",0001843388,2022-01-03,0001213900-22-000337
Vandam Eric,['Officer'],1847 Holdings LLC,0001599407,2022-01-19,0001213900-22-002726
Hernandez Joseph,"['Officer', '10% Owner']",Blue Water Vaccines Inc.,0001782107,2022-02-17,0001213900-22-008307
Lo Gordon,"['Director', 'Officer']",Malacca Straits Acquisition Co Ltd,0001807594,2022-02-28,0001213900-22-009727
Johnson Jeffery D.,['Officer'],Cuentas Inc.,0001424657,2022-03-25,0001213900-22-015209
Simon Mindy F.,['Director'],Bilander Acquisition Corp.,0001845618,2022-04-27,0001213900-22-021922
Kidney Sean Stafford,['Director'],ClimateRock,0001903392,2022-04-27,0001213900-22-022036
LUTNICK HOWARD W,['10% Owner'],"MSP Recovery, Inc.",0001802450,2022-06-01,0001213900-22-030709
SUBIN NEIL S,['Director'],NEXTNAV INC.,0001865631,2022-08-11,0001213900-22-046863
GIBSON JOHN W JR,['Director'],"Nauticus Robotics, Inc.",0001849820,2022-09-13,0001213900-22-055760
Jable Todd,['Officer'],"Appreciate Holdings, Inc.",0001821075,2022-12-09,0001213900-22-078871
Deaton Patrick,['Officer'],NB Crossroads Private Markets Fund IV Holdings LLC,0001669382,2023-02-17,0001213900-23-012790
Quire Daniel,['Officer'],Karat Packaging Inc.,0001758021,2023-09-11,0001213900-23-075813
Jacob William Douglas,['Director'],"Falcon's Beyond Global, Inc.",0001937987,2023-10-06,0001213900-23-081231
Pereira Nathan P.,"['Director', 'Officer']",Unite Acquisition 1 Corp.,0001938571,2023-11-30,0001213900-23-091523
Black Iain,['Officer'],EMCORE CORP,0000808326,2018-04-02,0001214659-18-002549
HAYLES CAROL,['Director'],WEBSTER FINANCIAL CORP,0000801337,2018-10-24,0001214659-18-006639
Wagner Patricia K,['Director'],CALIFORNIA WATER SERVICE GROUP,0001035201,2019-11-20,0001214659-19-007322
Winnefeld James A Jr,['Director'],MOLSON COORS BEVERAGE CO,0000024545,2020-05-22,0001214659-20-004955
Egan Cynthia,['Director'],Huntsman CORP,0001307954,2020-06-18,0001214659-20-005761
Girolamo Todd C,['Director'],Longeveron Inc.,0001721484,2022-02-22,0001214659-22-003064
Mathew Mili,['Officer'],ONE LIBERTY PROPERTIES INC,0000712770,2023-03-13,0001214659-23-003789
O'Keefe Jennifer,['Officer'],"Mueller Water Products, Inc.",0001350593,2018-01-31,0001225208-18-001963
Ostrowsky Barry H,['Director'],PUBLIC SERVICE ENTERPRISE GROUP INC,0000788784,2018-02-27,0001225208-18-004307
Winget Demark L,"['Officer', 'Vice President']",Nuveen All Cap Energy MLP Opportunities Fund,0001582817,2018-02-24,0001225208-18-004493
Sun Angela,['Director'],Western Union CO,0001365135,2018-07-23,0001225208-18-011913
Lockhart Brian J,['Officer'],NUVEEN ARIZONA QUALITY MUNICIPAL INCOME FUND,0000892992,20190816,0001225208-19-011484
Longerstaey Jacques M,['Officer'],NUVEEN ARIZONA QUALITY MUNICIPAL INCOME FUND,0000892992,2019-08-13,0001225208-19-011485
Longerstaey Jacques M,['Officer'],NUVEEN GEORGIA QUALITY MUNICIPAL INCOME FUND,0001177219,2019-08-13,0001225208-19-011520
Meissner Jon Scott,['Officer'],NUVEEN GEORGIA QUALITY MUNICIPAL INCOME FUND,0001177219,2019-10-16,0001225208-19-013549
Raikes Donald R.,['Officer'],"DOMINION ENERGY, INC",0000715957,2019-12-06,0001225208-19-015386
Nitzan Andrea,['Other'],"Barings BDC, Inc.",0001379785,2020-01-30,0001225208-20-001370
Pierce Patrick Douglas,['Other'],COMMUNITY FINANCIAL CORP /MD/,0000855874,2020-02-21,0001225208-20-003043
Strife Jason,"['Other', ""Member-Sub-Adv's Joint Inv Com""]",Nuveen Churchill BDC INC.,0001737924,2020-02-21,0001225208-20-003086
Thornton Matthew III,['Other'],NUVEEN ARIZONA QUALITY MUNICIPAL INCOME FUND,0000892992,2020-11-19,0001225208-20-013800
Thornton Matthew III,"['Other', 'Trustee']",Nuveen Tax-Advantaged Dividend Growth Fund,0001397173,2020-11-21,0001225208-20-013860
Thornton Matthew III,['Other'],NUVEEN NEW JERSEY QUALITY MUNICIPAL INCOME FUND,0001087786,2020-11-20,0001225208-20-013935
Allen Quincy L,['Director'],ABM INDUSTRIES INC /DE/,0000771497,2021-02-19,0001225208-21-003179
Chandler Mary T,['Officer'],CUMMINS INC,0000026172,2021-03-03,0001225208-21-004415
RAMASWAMY SREEGANESH,['Director'],PACCAR INC,0000075362,2021-04-28,0001225208-21-007094
Liberatore Stephen,['Other'],Nuveen Core Plus Impact Fund,0001835068,2021-04-28,0001225208-21-007230
Roessiger Kimberly M,['Officer'],EATON VANCE LTD DURATION INCOME FUND,0001222922,2021-07-01,0001225208-21-009867
Roessiger Kimberly M,['Officer'],EATON VANCE TAX ADVANTAGED GLOBAL DIVIDEND INCOME FUND,0001270523,2021-07-01,0001225208-21-009898
Medero Joanne,"['Other', 'Trustee']",NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,2021-07-07,0001225208-21-010371
Medero Joanne,['Other'],NUVEEN NEW JERSEY QUALITY MUNICIPAL INCOME FUND,0001087786,2021-07-07,0001225208-21-010463
MOSCHNER ALBIN F,['Other'],Nuveen Multi-Asset Income Fund,0001861115,2021-07-08,0001225208-21-010496
Eric A. Vaillancourt,['Officer'],"ENPRO INDUSTRIES, INC",0001164863,2021-08-04,0001225208-21-011199
DAVIS ALISON,"['Officer', '10% Owner']",Blockchain Coinvestors Acquisition Corp. I,0001873441,2021-11-09,0001225208-21-013734
Kutz Jeffrey,['Officer'],"Air Products & Chemicals, Inc.",0000002969,2022-05-09,0001225208-22-006690
Stenersen Trey III,['Officer'],NUVEEN PENNSYLVANIA QUALITY MUNICIPAL INCOME FUND,0000870780,2022-08-15,0001225208-22-009577
Hood Max,['Officer'],ODP Corp,0000800240,2023-03-08,0001225208-23-003578
BOSHOFF CHRISTOFFEL,['Officer'],PFIZER INC,0000078003,2023-08-04,0001225208-23-008002
Dejong Kristen,['Other'],NUVEEN NEW YORK AMT-FREE QUALITY MUNICIPAL INCOME FUND,0001195739,2023-10-16,0001225208-23-009504
RATHKE FRANCES G,['Other'],JOHN HANCOCK FINANCIAL OPPORTUNITIES FUND,0000925683,2020-09-18,0001228616-20-000019
Radke Robin M.,['Other'],MESABI TRUST,0000065172,2019-01-25,0001235802-19-000009
El-Erian Mohamed,['Director'],"Under Armour, Inc.",0001336917,2018-10-03,0001246360-18-002313
Hankey Don,"['Director', 'Officer', '10% Owner']",Bone Biologics Corp,0001419554,2018-07-26,0001250853-18-000106
ZEN Wei Peu,['Director'],"EMMAUS LIFE SCIENCES, INC.",0001420031,2018-08-03,0001250853-18-000110
GREENBERG ROBERT,['10% Owner'],"LIXTE BIOTECHNOLOGY HOLDINGS, INC.",0001335105,2018-12-11,0001250853-18-000149
Liu Nanxi,['Director'],"Kindred Biosciences, Inc.",0001561743,2021-02-08,0001250853-21-000028
Papadourakis Angelo Gregory,['Officer'],"Sacks Parente Golf, Inc.",0001934245,2023-08-17,0001250853-23-000053
Patel Kirtesh,['Director'],FIRST NATIONAL CORP /VA/,0000719402,2021-07-06,0001253225-21-000001
VALONE JAMES W,['Officer'],Nuveen Mortgage Opportunity Term Fund 2,0001479238,2018-10-29,0001263211-18-000002
Spires Tina,['Director'],Deep Medicine Acquisition Corp.,0001857086,2021-10-26,0001264931-21-000169
Li Ke,['Officer'],Jupiter Wellness Acquisition Corp.,0001883799,2021-12-06,0001264931-21-000241
Goldstein Peter D.,['Officer'],GABELLI EQUITY TRUST INC,0000794685,2020-08-26,0001271163-20-000057
WARD JR STEPHEN M,['Director'],VONAGE HOLDINGS CORP,0001272830,2021-06-30,0001272830-21-000200
Cortis Christian,['Officer'],AGENUS INC,0001098972,2018-06-22,0001288123-18-000018
Huang Zhifei,"['Director', 'Officer (Chief Financial Officer)']",ZKGC New Energy Ltd,0001896511,2023-08-09,0001290929-23-000010
DRISCOLL FREDERICK W,['Officer'],Conformis Inc,0001305773,2019-10-28,0001305773-19-000115
Kelly Thomas Francis,['Officer'],Celanese Corp,0001306830,2020-04-24,0001306830-20-000095
Peppet Scott R,['Director'],EQUITY LIFESTYLE PROPERTIES INC,0000895417,2018-08-02,0001315529-18-000002
Zemsky Paul,['Other'],Voya Global Advantage & Premium Opportunity Fund,0001332943,2020-01-23,0001321927-20-000023
Polar Asset Management Partners Inc.,['10% Owner'],Ace Global Business Acquisition Ltd,0001844389,2023-10-06,0001326389-23-000810
Osterberg Peter,['Officer'],STONERIDGE INC,0001043337,2022-04-06,0001331471-22-000031
du Pont Eleuthere I,['Director'],"DuPont de Nemours, Inc.",0001666700,2019-06-05,0001349330-19-000003
Ni David Kang-Wen,['Officer'],Enstar Group LTD,0001363829,2022-05-16,0001363829-22-000128
Kini Narasimha,['Officer'],"ExlService Holdings, Inc.",0001297989,2021-10-20,0001373631-21-000004
Haverty Kevin,['Officer'],"ServiceNow, Inc.",0001373715,2020-08-06,0001373715-20-000195
"MIC CAPITAL PARTNERS (PUBLIC) (US) IM, LLC",['10% Owner'],"RECURSION PHARMACEUTICALS, INC.",0001601830,2021-04-20,0001387131-21-004687
Reed Chris Lavern,['Director'],Byrna Technologies Inc.,0001354866,2021-06-11,0001387131-21-006514
Ganz Bryan,"['Director', 'Officer']",Byrna Technologies Inc.,0001354866,2021-06-11,0001387131-21-006518
Henry Brent Lee,['Director'],Finite Solar Finance Fund,0001844890,2021-12-30,0001387131-21-012396
Mielle Dominique,['Director'],TIPTREE INC.,0001393726,2020-01-27,0001393726-20-000014
Swanson David,['Director'],"RiverNorth Managed Duration Municipal Income Fund, Inc.",0001771226,2019-06-24,0001398344-19-010998
Allianz Global Investors U.S. LLC,['Other'],TAIWAN FUND INC,0000804123,2019-08-15,0001398344-19-014481
SHUGRUE GARY,['Director'],Keystone Private Income Fund,0001788420,2020-06-19,0001398344-20-012671
Shane Adam B,['Officer'],Hamilton Lane Private Assets Fund,0001803491,2020-07-10,0001398344-20-013571
